station,xMin,yMin,xMax,yMax
Richmond,276.575310,364.789847,297.231289,381.589412
East Richmond,287.220890,364.705851,314.669589,381.300904
Burnley,305.210642,368.910764,321.796832,381.300904
Hawthorn,317.342586,365.309892,337.325136,381.300904
Glenferrie,329.478182,365.366863,349.469497,381.297252
Auburn,341.610126,369.415835,357.483080,381.297252
Camberwell,353.742070,361.762704,378.487923,381.297252
East Camberwell,365.874014,353.669872,398.712699,381.297252
Canterbury,378.009610,362.940839,400.558420,381.293600
Chatham,390.141554,366.385040,407.957007,381.293600
Surrey Hills,402.273498,362.905780,424.857367,381.293600
Mont Albert,414.409282,362.078132,438.498871,381.296052
Box Hill,426.526618,368.954483,444.079492,381.296052
Laburnum,438.684126,364.576100,458.307319,381.292400
Blackburn,450.841634,364.626133,471.503091,381.296052
Nunawading,463.032010,360.875164,487.378700,381.296052
Mitcham,475.098218,367.084659,492.216504,381.296052
Heatherdale,487.270334,361.390096,511.233564,381.292400
Ringwood,499.438798,364.710859,519.876752,381.292400
Seddon,131.650880,361.380859,149.849733,367.402900
Flagstaff,187.750500,347.251617,208.565769,352.972712
South Kensington,154.524106,334.840040,176.939983,353.264380
Melton,36.951618,336.963678,52.167577,348.188100
Rockbank,44.799766,335.270611,65.506873,351.851056
Deer Park,56.778326,335.268420,77.020168,351.383600
Ardeer,73.383970,335.267689,89.211274,346.289060
Sunshine,84.643086,335.266959,103.834613,350.397560
West Footscray,97.421434,335.267689,126.983910,360.634116
Tottenham,93.886298,335.268054,114.183285,352.658148
Middle Footscray,106.105890,335.255272,138.492823,363.446156
Footscray,129.493298,335.260750,149.903497,351.474900
Baxter,346.025394,653.648439,351.193241,665.514152
Somerville,357.540150,648.381890,378.736990,665.517804
Tyabb,369.051254,655.584364,382.841107,665.517804
Hastings,380.562358,651.122716,399.153496,665.517804
Bittern,392.069810,654.589559,406.985940,665.514152
Morradoo,403.580914,649.382172,423.638695,665.514152
Crib Point,415.092018,649.391668,436.086172,665.514152
Leawarra,334.517942,650.417514,353.679157,665.517804
Kananook,294.023883,655.660301,317.482467,661.682341
Frankston,281.294400,666.249318,315.845210,672.369487
Carrum,300.149217,633.204185,317.485049,639.226225
Seaford,299.260889,644.432243,317.494345,650.454283
Stony Point,427.102133,639.902068,457.417908,666.537200
Bell,269.796275,236.668848,278.423906,242.690889
